method_id,checkpoint_seed,checkpoint_variant,sequence_index,mean_cost_pddl,success_rate
anticipatory_dqn_greedy,0,final,0,1238.5,0.88
myopic_dqn_greedy,0,final,0,1400.5,0.94
anticipatory_dqn_greedy,0,final,1,1184.5,0.94
myopic_dqn_greedy,0,final,1,1694.0,0.96
anticipatory_dqn_greedy,0,final,2,1077.5,1.0
myopic_dqn_greedy,0,final,2,1536.5,1.0
anticipatory_dqn_greedy,0,final,3,1031.5,1.0
myopic_dqn_greedy,0,final,3,1271.0,1.0
anticipatory_dqn_greedy,0,final,4,1050.0,0.98
myopic_dqn_greedy,0,final,4,1061.5,0.96
anticipatory_dqn_greedy,0,final,5,1600.5,0.96
myopic_dqn_greedy,0,final,5,1407.5,1.0
anticipatory_dqn_greedy,0,final,6,1331.0,0.98
myopic_dqn_greedy,0,final,6,1059.0,1.0
anticipatory_dqn_greedy,0,final,7,1512.5,0.96
myopic_dqn_greedy,0,final,7,1797.0,0.98
anticipatory_dqn_greedy,0,final,8,1760.0,0.98
myopic_dqn_greedy,0,final,8,1573.5,1.0
anticipatory_dqn_greedy,0,final,9,1984.5,0.9
myopic_dqn_greedy,0,final,9,1552.0,1.0
anticipatory_dqn_greedy,16,final,0,1678.0,0.88
myopic_dqn_greedy,16,final,0,8519.0,0.0
anticipatory_dqn_greedy,16,final,1,1564.5,0.94
myopic_dqn_greedy,16,final,1,7102.0,0.0
anticipatory_dqn_greedy,16,final,2,1630.5,0.96
myopic_dqn_greedy,16,final,2,10025.0,0.0
anticipatory_dqn_greedy,16,final,3,1045.5,1.0
myopic_dqn_greedy,16,final,3,6958.5,0.06
anticipatory_dqn_greedy,16,final,4,1249.5,0.9
myopic_dqn_greedy,16,final,4,9124.5,0.1
anticipatory_dqn_greedy,16,final,5,1564.5,0.94
myopic_dqn_greedy,16,final,5,8203.0,0.02
anticipatory_dqn_greedy,16,final,6,1331.0,0.98
myopic_dqn_greedy,16,final,6,9509.5,0.04
anticipatory_dqn_greedy,16,final,7,1499.5,0.98
myopic_dqn_greedy,16,final,7,10743.0,0.0
anticipatory_dqn_greedy,16,final,8,1932.5,0.9
myopic_dqn_greedy,16,final,8,7516.5,0.08
anticipatory_dqn_greedy,16,final,9,873.0,1.0
myopic_dqn_greedy,16,final,9,8015.0,0.0
anticipatory_dqn_greedy,4,final,0,1671.5,0.94
myopic_dqn_greedy,4,final,0,1191.0,0.98
anticipatory_dqn_greedy,4,final,1,1525.5,0.98
myopic_dqn_greedy,4,final,1,1341.5,1.0
anticipatory_dqn_greedy,4,final,2,1268.5,0.96
myopic_dqn_greedy,4,final,2,1535.0,1.0
anticipatory_dqn_greedy,4,final,3,1263.0,1.0
myopic_dqn_greedy,4,final,3,1265.0,1.0
anticipatory_dqn_greedy,4,final,4,1023.5,0.96
myopic_dqn_greedy,4,final,4,1238.0,0.92
anticipatory_dqn_greedy,4,final,5,1791.0,0.92
myopic_dqn_greedy,4,final,5,1481.0,0.98
anticipatory_dqn_greedy,4,final,6,1401.0,0.94
myopic_dqn_greedy,4,final,6,1043.5,1.0
anticipatory_dqn_greedy,4,final,7,1756.0,0.98
myopic_dqn_greedy,4,final,7,1687.5,0.98
anticipatory_dqn_greedy,4,final,8,1620.0,0.98
myopic_dqn_greedy,4,final,8,1622.5,0.98
anticipatory_dqn_greedy,4,final,9,871.0,1.0
myopic_dqn_greedy,4,final,9,1528.5,1.0
anticipatory_dqn_greedy,8,final,0,1469.5,0.92
myopic_dqn_greedy,8,final,0,1251.0,0.94
anticipatory_dqn_greedy,8,final,1,1395.5,0.98
myopic_dqn_greedy,8,final,1,1459.0,0.98
anticipatory_dqn_greedy,8,final,2,1642.5,0.98
myopic_dqn_greedy,8,final,2,1613.5,0.98
anticipatory_dqn_greedy,8,final,3,1320.0,0.98
myopic_dqn_greedy,8,final,3,1272.0,1.0
anticipatory_dqn_greedy,8,final,4,1438.5,0.92
myopic_dqn_greedy,8,final,4,954.5,0.96
anticipatory_dqn_greedy,8,final,5,1511.0,0.98
myopic_dqn_greedy,8,final,5,1409.0,1.0
anticipatory_dqn_greedy,8,final,6,1224.0,0.96
myopic_dqn_greedy,8,final,6,1049.5,1.0
anticipatory_dqn_greedy,8,final,7,1718.5,0.98
myopic_dqn_greedy,8,final,7,1824.5,0.96
anticipatory_dqn_greedy,8,final,8,1694.5,0.96
myopic_dqn_greedy,8,final,8,1675.5,0.96
anticipatory_dqn_greedy,8,final,9,1530.5,1.0
myopic_dqn_greedy,8,final,9,1731.5,0.96
myopic_dqn_greedy,16,best,0,1929.5,0.68
myopic_dqn_greedy,16,best,1,1503.0,0.96
myopic_dqn_greedy,16,best,2,2220.5,0.54
myopic_dqn_greedy,16,best,3,1264.0,1.0
myopic_dqn_greedy,16,best,4,1598.0,0.78
myopic_dqn_greedy,16,best,5,2088.5,0.78
myopic_dqn_greedy,16,best,6,1063.0,1.0
myopic_dqn_greedy,16,best,7,3180.0,0.36
myopic_dqn_greedy,16,best,8,1932.5,0.92
myopic_dqn_greedy,16,best,9,2886.0,0.56
