method_id,checkpoint_seed,checkpoint_variant,sequence_index,task_index,task_cost_pddl
anticipatory_dqn_greedy,0,final,0,0,1400.0
anticipatory_dqn_greedy,0,final,0,1,6500.0
anticipatory_dqn_greedy,0,final,0,2,1700.0
anticipatory_dqn_greedy,0,final,0,3,650.0
anticipatory_dqn_greedy,0,final,0,4,3400.0
anticipatory_dqn_greedy,0,final,0,5,2625.0
anticipatory_dqn_greedy,0,final,0,6,900.0
anticipatory_dqn_greedy,0,final,0,7,1250.0
anticipatory_dqn_greedy,0,final,0,8,1050.0
anticipatory_dqn_greedy,0,final,0,9,1050.0
anticipatory_dqn_greedy,0,final,0,10,600.0
anticipatory_dqn_greedy,0,final,0,11,1050.0
anticipatory_dqn_greedy,0,final,0,12,1050.0
anticipatory_dqn_greedy,0,final,0,13,2150.0
anticipatory_dqn_greedy,0,final,0,14,850.0
anticipatory_dqn_greedy,0,final,0,15,1250.0
anticipatory_dqn_greedy,0,final,0,16,1050.0
anticipatory_dqn_greedy,0,final,0,17,1050.0
anticipatory_dqn_greedy,0,final,0,18,900.0
anticipatory_dqn_greedy,0,final,0,19,1300.0
anticipatory_dqn_greedy,0,final,0,20,1000.0
anticipatory_dqn_greedy,0,final,0,21,0.0
anticipatory_dqn_greedy,0,final,0,22,950.0
anticipatory_dqn_greedy,0,final,0,23,0.0
anticipatory_dqn_greedy,0,final,0,24,0.0
anticipatory_dqn_greedy,0,final,0,25,1500.0
anticipatory_dqn_greedy,0,final,0,26,100.0
anticipatory_dqn_greedy,0,final,0,27,1400.0
anticipatory_dqn_greedy,0,final,0,28,1050.0
anticipatory_dqn_greedy,0,final,0,29,0.0
anticipatory_dqn_greedy,0,final,0,30,8600.0
anticipatory_dqn_greedy,0,final,0,31,0.0
anticipatory_dqn_greedy,0,final,0,32,3200.0
anticipatory_dqn_greedy,0,final,0,33,800.0
anticipatory_dqn_greedy,0,final,0,34,0.0
anticipatory_dqn_greedy,0,final,0,35,1050.0
anticipatory_dqn_greedy,0,final,0,36,0.0
anticipatory_dqn_greedy,0,final,0,37,0.0
anticipatory_dqn_greedy,0,final,0,38,100.0
anticipatory_dqn_greedy,0,final,0,39,0.0
anticipatory_dqn_greedy,0,final,0,40,0.0
anticipatory_dqn_greedy,0,final,0,41,0.0
anticipatory_dqn_greedy,0,final,0,42,1400.0
anticipatory_dqn_greedy,0,final,0,43,1500.0
anticipatory_dqn_greedy,0,final,0,44,1050.0
anticipatory_dqn_greedy,0,final,0,45,100.0
anticipatory_dqn_greedy,0,final,0,46,6350.0
anticipatory_dqn_greedy,0,final,0,47,0.0
anticipatory_dqn_greedy,0,final,0,48,0.0
anticipatory_dqn_greedy,0,final,0,49,0.0
myopic_dqn_greedy,0,final,0,0,1400.0
myopic_dqn_greedy,0,final,0,1,850.0
myopic_dqn_greedy,0,final,0,2,6400.0
myopic_dqn_greedy,0,final,0,3,2650.0
myopic_dqn_greedy,0,final,0,4,6400.0
myopic_dqn_greedy,0,final,0,5,2850.0
myopic_dqn_greedy,0,final,0,6,900.0
myopic_dqn_greedy,0,final,0,7,2275.0
myopic_dqn_greedy,0,final,0,8,2075.0
myopic_dqn_greedy,0,final,0,9,2075.0
myopic_dqn_greedy,0,final,0,10,1300.0
myopic_dqn_greedy,0,final,0,11,2075.0
myopic_dqn_greedy,0,final,0,12,2075.0
myopic_dqn_greedy,0,final,0,13,3250.0
myopic_dqn_greedy,0,final,0,14,775.0
myopic_dqn_greedy,0,final,0,15,2275.0
myopic_dqn_greedy,0,final,0,16,2075.0
myopic_dqn_greedy,0,final,0,17,2075.0
myopic_dqn_greedy,0,final,0,18,0.0
myopic_dqn_greedy,0,final,0,19,2075.0
myopic_dqn_greedy,0,final,0,20,1000.0
myopic_dqn_greedy,0,final,0,21,0.0
myopic_dqn_greedy,0,final,0,22,2175.0
myopic_dqn_greedy,0,final,0,23,0.0
myopic_dqn_greedy,0,final,0,24,0.0
myopic_dqn_greedy,0,final,0,25,2850.0
myopic_dqn_greedy,0,final,0,26,400.0
myopic_dqn_greedy,0,final,0,27,3025.0
myopic_dqn_greedy,0,final,0,28,2075.0
myopic_dqn_greedy,0,final,0,29,0.0
myopic_dqn_greedy,0,final,0,30,0.0
myopic_dqn_greedy,0,final,0,31,0.0
myopic_dqn_greedy,0,final,0,32,375.0
myopic_dqn_greedy,0,final,0,33,1450.0
myopic_dqn_greedy,0,final,0,34,0.0
myopic_dqn_greedy,0,final,0,35,2075.0
myopic_dqn_greedy,0,final,0,36,0.0
myopic_dqn_greedy,0,final,0,37,0.0
myopic_dqn_greedy,0,final,0,38,100.0
myopic_dqn_greedy,0,final,0,39,0.0
myopic_dqn_greedy,0,final,0,40,0.0
myopic_dqn_greedy,0,final,0,41,0.0
myopic_dqn_greedy,0,final,0,42,2750.0
myopic_dqn_greedy,0,final,0,43,2850.0
myopic_dqn_greedy,0,final,0,44,2075.0
myopic_dqn_greedy,0,final,0,45,100.0
myopic_dqn_greedy,0,final,0,46,725.0
myopic_dqn_greedy,0,final,0,47,0.0
myopic_dqn_greedy,0,final,0,48,0.0
myopic_dqn_greedy,0,final,0,49,150.0
anticipatory_dqn_greedy,0,final,1,0,1475.0
anticipatory_dqn_greedy,0,final,1,1,800.0
anticipatory_dqn_greedy,0,final,1,2,6500.0
anticipatory_dqn_greedy,0,final,1,3,1000.0
anticipatory_dqn_greedy,0,final,1,4,0.0
anticipatory_dqn_greedy,0,final,1,5,1525.0
anticipatory_dqn_greedy,0,final,1,6,2075.0
anticipatory_dqn_greedy,0,final,1,7,6150.0
anticipatory_dqn_greedy,0,final,1,8,0.0
anticipatory_dqn_greedy,0,final,1,9,0.0
anticipatory_dqn_greedy,0,final,1,10,1325.0
anticipatory_dqn_greedy,0,final,1,11,1050.0
anticipatory_dqn_greedy,0,final,1,12,1850.0
anticipatory_dqn_greedy,0,final,1,13,1050.0
anticipatory_dqn_greedy,0,final,1,14,900.0
anticipatory_dqn_greedy,0,final,1,15,850.0
anticipatory_dqn_greedy,0,final,1,16,0.0
anticipatory_dqn_greedy,0,final,1,17,0.0
anticipatory_dqn_greedy,0,final,1,18,1250.0
anticipatory_dqn_greedy,0,final,1,19,1850.0
anticipatory_dqn_greedy,0,final,1,20,1050.0
anticipatory_dqn_greedy,0,final,1,21,1050.0
anticipatory_dqn_greedy,0,final,1,22,1850.0
anticipatory_dqn_greedy,0,final,1,23,1050.0
anticipatory_dqn_greedy,0,final,1,24,900.0
anticipatory_dqn_greedy,0,final,1,25,0.0
anticipatory_dqn_greedy,0,final,1,26,1250.0
anticipatory_dqn_greedy,0,final,1,27,1050.0
anticipatory_dqn_greedy,0,final,1,28,1050.0
anticipatory_dqn_greedy,0,final,1,29,1850.0
anticipatory_dqn_greedy,0,final,1,30,0.0
anticipatory_dqn_greedy,0,final,1,31,0.0
anticipatory_dqn_greedy,0,final,1,32,1850.0
anticipatory_dqn_greedy,0,final,1,33,1050.0
anticipatory_dqn_greedy,0,final,1,34,250.0
anticipatory_dqn_greedy,0,final,1,35,1050.0
anticipatory_dqn_greedy,0,final,1,36,0.0
anticipatory_dqn_greedy,0,final,1,37,0.0
anticipatory_dqn_greedy,0,final,1,38,1100.0
anticipatory_dqn_greedy,0,final,1,39,1050.0
anticipatory_dqn_greedy,0,final,1,40,3200.0
anticipatory_dqn_greedy,0,final,1,41,850.0
anticipatory_dqn_greedy,0,final,1,42,1250.0
anticipatory_dqn_greedy,0,final,1,43,900.0
anticipatory_dqn_greedy,0,final,1,44,0.0
anticipatory_dqn_greedy,0,final,1,45,2050.0
anticipatory_dqn_greedy,0,final,1,46,1850.0
anticipatory_dqn_greedy,0,final,1,47,1000.0
anticipatory_dqn_greedy,0,final,1,48,0.0
anticipatory_dqn_greedy,0,final,1,49,1025.0
myopic_dqn_greedy,0,final,1,0,1475.0
myopic_dqn_greedy,0,final,1,1,800.0
myopic_dqn_greedy,0,final,1,2,11200.0
myopic_dqn_greedy,0,final,1,3,900.0
myopic_dqn_greedy,0,final,1,4,0.0
myopic_dqn_greedy,0,final,1,5,1725.0
myopic_dqn_greedy,0,final,1,6,2075.0
myopic_dqn_greedy,0,final,1,7,250.0
myopic_dqn_greedy,0,final,1,8,0.0
myopic_dqn_greedy,0,final,1,9,0.0
myopic_dqn_greedy,0,final,1,10,2100.0
myopic_dqn_greedy,0,final,1,11,2075.0
myopic_dqn_greedy,0,final,1,12,2850.0
myopic_dqn_greedy,0,final,1,13,2075.0
myopic_dqn_greedy,0,final,1,14,900.0
myopic_dqn_greedy,0,final,1,15,850.0
myopic_dqn_greedy,0,final,1,16,0.0
myopic_dqn_greedy,0,final,1,17,0.0
myopic_dqn_greedy,0,final,1,18,2275.0
myopic_dqn_greedy,0,final,1,19,2850.0
myopic_dqn_greedy,0,final,1,20,2075.0
myopic_dqn_greedy,0,final,1,21,2075.0
myopic_dqn_greedy,0,final,1,22,2850.0
myopic_dqn_greedy,0,final,1,23,2075.0
myopic_dqn_greedy,0,final,1,24,900.0
myopic_dqn_greedy,0,final,1,25,0.0
myopic_dqn_greedy,0,final,1,26,2275.0
