method_id,run_id,sequence_index,sequence_id,sequence_sha256,checkpoint_seed,eval_seed,beta,gamma,K,task_count,completed_count,total_cost_pddl,mean_cost_pddl,total_actions,auto_success_count,auto_success_rate,source_json,source_sha256
myopic_fd_optimal,myopic_fd_optimal__seedfixed__seq00,0,iid-eval-seq-00,b9f56299ab63913fe07b0e9513abfd1a83809107f9bef4cb614cbfb9f798f0e6,,0,,,,50,50,56725.0,1134.5,305,15,0.3,results/canonical_oracles/myopic_opt_seq00.json,864f6958892b70b024fe8bd4ce5e1962aeff428090f62ef4f4d5f48e2ddc316a
myopic_fd_optimal,myopic_fd_optimal__seedfixed__seq01,1,iid-eval-seq-01,32e56cebf5f9b0b1dd315e65671f9c00c83dc4391f37f3267b59eb934aa25a27,,0,,,,50,50,67075.0,1341.5,347,12,0.24,results/canonical_oracles/myopic_opt_seq01.json,96d2cc08621c6fa39a51f2b44ee7b4b6760d9d936096991f3c0046a5e8a2e951
myopic_fd_optimal,myopic_fd_optimal__seedfixed__seq02,2,iid-eval-seq-02,0ebfe015cf9c9bedd6a2bb21e36385e39c163b34bafeaba83f5f732766f02cf2,,0,,,,50,50,77200.0,1544.0,400,8,0.16,results/canonical_oracles/myopic_opt_seq02.json,e816fceefa9c5685f8aac54adaf2da01969f5f493fcc4f91ba0fe673f826f4d1
myopic_fd_optimal,myopic_fd_optimal__seedfixed__seq03,3,iid-eval-seq-03,e3437ffcac376bf3ea5d751859212f6778d88875db803026db7d34eef69e0714,,0,,,,50,50,63050.0,1261.0,311,12,0.24,results/canonical_oracles/myopic_opt_seq03.json,d66c2155fdeb8848371e0219bbabe444b624c3619a1a1658f2ea88dd8527a682
myopic_fd_optimal,myopic_fd_optimal__seedfixed__seq04,4,iid-eval-seq-04,502732a7ff83502a0dd3136bcb3499307773c560375b78df4b7c4eb5e4f94e94,,0,,,,50,50,44525.0,890.5,256,20,0.4,results/canonical_oracles/myopic_opt_seq04.json,36622b0b84efa5da6427d4e770d9d422c61c8fcd5b655e73e6cff49d4f747e62
myopic_fd_optimal,myopic_fd_optimal__seedfixed__seq05,5,iid-eval-seq-05,b40350df15f01488efc79a2867bfbe2c0cac06e31d9b4bdcb7da6ba9eb3b31be,,0,,,,50,50,70775.0,1415.5,382,9,0.18,results/canonical_oracles/myopic_opt_seq05.json,13aa57885932a03e88acc72dcc55813e38c9f54ed450bfc4fdadbf9a1b27c653
myopic_fd_optimal,myopic_fd_optimal__seedfixed__seq06,6,iid-eval-seq-06,3aa36a695104f12fbab3d6c175726994f0cdf0279209a48b66ea7569f69bf19f,,0,,,,50,50,52875.0,1057.5,255,19,0.38,results/canonical_oracles/myopic_opt_seq06.json,62beef62199ab1043ec6cee053fa4fa0ce9e90b9482cee55243a7ac14d1917e8
myopic_fd_optimal,myopic_fd_optimal__seedfixed__seq07,7,iid-eval-seq-07,7b40cf629c8d104a7cc0dc2ba956ac0fc6f3039d4192e2db4a22aaed075133a8,,0,,,,50,50,82975.0,1659.5,423,5,0.1,results/canonical_oracles/myopic_opt_seq07.json,1004e172e6f1f1d92394bb52e48f9844dd967d7e0fe612d4611e3382cfed12c5
myopic_fd_optimal,myopic_fd_optimal__seedfixed__seq08,8,iid-eval-seq-08,87c009d1e3bd03fa5e16a46f7b275c56a6ef8a18ac407425f4650a7f4ca63248,,0,,,,50,50,78400.0,1568.0,421,10,0.2,results/canonical_oracles/myopic_opt_seq08.json,d199e925aa854625994a0f2a4090294e860edd3c726525eb78ca34090b4cb31e
myopic_fd_optimal,myopic_fd_optimal__seedfixed__seq09,9,iid-eval-seq-09,6ae017f60a6803c7ca2238368acbdf87ed6411c70bc3fffa12bfce71f8dc731a,,0,,,,50,50,76425.0,1528.5,377,8,0.16,results/canonical_oracles/myopic_opt_seq09.json,d2e6a5a39d1eaedb2fb6865b05084da375f504bc9c7d0aea27ed72cdcde67687
clairvoyant_k3_lama,clairvoyant_k3_lama__seedfixed__seq00,0,iid-eval-seq-00,b9f56299ab63913fe07b0e9513abfd1a83809107f9bef4cb614cbfb9f798f0e6,,0,,,3,50,50,36125.0,722.5,319,22,0.44,results/canonical_oracles/clairvoyant_k3_seq00.json,6bd6f1d9bd03f34d424ed0a44fc5a5d67c33a8abf79320640fcfb8882f302932
clairvoyant_k3_lama,clairvoyant_k3_lama__seedfixed__seq01,1,iid-eval-seq-01,32e56cebf5f9b0b1dd315e65671f9c00c83dc4391f37f3267b59eb934aa25a27,,0,,,3,50,50,41275.0,825.5,349,18,0.36,results/canonical_oracles/clairvoyant_k3_seq01.json,d2337a8b5f03e87fe775b5ec4b2284b217242c3f8211edcceb847d8581eb99f1
clairvoyant_k3_lama,clairvoyant_k3_lama__seedfixed__seq02,2,iid-eval-seq-02,0ebfe015cf9c9bedd6a2bb21e36385e39c163b34bafeaba83f5f732766f02cf2,,0,,,3,50,50,42250.0,845.0,394,15,0.3,results/canonical_oracles/clairvoyant_k3_seq02.json,d3707836ef7d2a06ea80e0132563ff623336aa7e284d7d1335b22df792934b60
clairvoyant_k3_lama,clairvoyant_k3_lama__seedfixed__seq03,3,iid-eval-seq-03,e3437ffcac376bf3ea5d751859212f6778d88875db803026db7d34eef69e0714,,0,,,3,50,50,33125.0,662.5,315,15,0.3,results/canonical_oracles/clairvoyant_k3_seq03.json,2b1ae57e3da4e147d39cc089fe88e1766dfdb6f5338c61c09c504ddfa2e69f1c
clairvoyant_k3_lama,clairvoyant_k3_lama__seedfixed__seq04,4,iid-eval-seq-04,502732a7ff83502a0dd3136bcb3499307773c560375b78df4b7c4eb5e4f94e94,,0,,,3,50,50,31675.0,633.5,260,27,0.54,results/canonical_oracles/clairvoyant_k3_seq04.json,98dbe3829a037afbeaae6cb93ab9026dbea03bb67ecc7111c2d8e0906df75090
clairvoyant_k3_lama,clairvoyant_k3_lama__seedfixed__seq05,5,iid-eval-seq-05,b40350df15f01488efc79a2867bfbe2c0cac06e31d9b4bdcb7da6ba9eb3b31be,,0,,,3,50,50,40850.0,817.0,382,16,0.32,results/canonical_oracles/clairvoyant_k3_seq05.json,35e6de87f8f046aa636e1862943e631d722920cb28d46f3d083e5dcaad7c0b23
clairvoyant_k3_lama,clairvoyant_k3_lama__seedfixed__seq06,6,iid-eval-seq-06,3aa36a695104f12fbab3d6c175726994f0cdf0279209a48b66ea7569f69bf19f,,0,,,3,50,50,29700.0,594.0,265,19,0.38,results/canonical_oracles/clairvoyant_k3_seq06.json,2b0211b5fb4bf7e7c6a5cdac360e9dcbb546464f0574979a4726856a5a6fa5f1
clairvoyant_k3_lama,clairvoyant_k3_lama__seedfixed__seq07,7,iid-eval-seq-07,7b40cf629c8d104a7cc0dc2ba956ac0fc6f3039d4192e2db4a22aaed075133a8,,0,,,3,50,50,45400.0,908.0,418,9,0.18,results/canonical_oracles/clairvoyant_k3_seq07.json,e8a107cf299adc9abad7e60123e0d3b0d531bf37d3910c4081faa037548684ca
clairvoyant_k3_lama,clairvoyant_k3_lama__seedfixed__seq08,8,iid-eval-seq-08,87c009d1e3bd03fa5e16a46f7b275c56a6ef8a18ac407425f4650a7f4ca63248,,0,,,3,50,50,50200.0,1004.0,431,15,0.3,results/canonical_oracles/clairvoyant_k3_seq08.json,b1753ad610a80290e733a654f361b6e99c575b5e48363607092d4d40b2d04d7c
clairvoyant_k3_lama,clairvoyant_k3_lama__seedfixed__seq09,9,iid-eval-seq-09,6ae017f60a6803c7ca2238368acbdf87ed6411c70bc3fffa12bfce71f8dc731a,,0,,,3,50,50,40525.0,810.5,374,10,0.2,results/canonical_oracles/clairvoyant_k3_seq09.json,cd4fef8604b20848946a264b43df351cd6a37ea550dc1955f8401c43f8293afd
